route,timesteps,collision_truck,collision_trailer,timeout,truck_lidar_collision,trailer_lidar_collision,distance_to_center_of_lane,completed
61|95,315,False,False,False,False,False,1.0509063092669841,True
61|42,313,False,False,False,False,False,0.9585429160514065,True
117|120,327,False,False,False,False,False,0.8811806153586385,True
40|42,200,False,False,False,False,False,0.426600040727467,True
40|10,357,False,False,False,False,False,0.9810135619666102,True
34|112,302,False,False,False,False,False,1.0186290422719497,True
11|10,108,False,False,False,False,True,0.12989766875486092,False
11|3,289,False,False,False,False,False,0.7921438090005153,True
5|41,177,False,False,False,False,True,0.9876801188709705,False
97|95,359,False,False,False,False,False,1.0856539066923316,True
119|37,444,False,False,False,False,False,0.8418252697297622,True
119|103,499,False,False,False,False,False,0.9121562780621831,True
22|105,506,False,False,False,False,False,0.7338692456228246,True
22|26,681,False,False,False,False,False,0.8461164269790566,True
22|76,297,False,False,False,False,True,0.5122727603513515,False
16|103,168,False,False,False,True,False,1.8167809767671312,False
16|111,436,False,False,False,False,False,0.9866865521353396,True
96|26,424,False,False,False,False,False,0.887004410778896,True
96|76,684,False,False,False,False,False,0.5935130750683164,True
58|111,314,False,False,False,False,False,0.8018303435507298,True
31|120,444,False,False,False,False,False,1.3703132519106993,True
31|112,530,False,False,False,False,False,1.5164914650638814,True
117|112,408,False,False,False,False,False,1.1999251796201602,True
117|41,506,False,False,False,False,False,1.6553094901719585,True
34|41,405,False,False,False,False,False,1.5077807119770503,True
34|43,421,False,False,False,False,False,1.4577074211024434,True
5|43,357,False,False,False,False,False,1.6032802970091182,True
5|120,501,False,False,False,False,False,1.7642955713150574,True
73|74,129,False,False,False,False,True,0.6897627562015871,False
73|37,120,False,False,False,False,True,0.5317437639407353,False
15|94,701,False,False,False,False,False,0.9511133194660929,True
15|105,754,False,False,False,False,False,0.6565163516425877,True
15|26,328,False,False,False,False,True,0.6131321829782616,False
55|94,857,False,False,False,False,False,0.7451581374531296,True
55|105,478,False,False,False,False,True,0.27726014274105315,False
96|94,972,False,False,False,False,False,0.5926861910172683,True
58|74,575,False,False,False,False,False,1.0341234434128084,True
55|76,571,False,False,False,False,False,0.7589267628180179,True
31|43,200,False,False,False,False,True,0.4932415294072127,False
61|95,307,False,False,False,False,False,1.121949353562788,True
61|42,313,False,False,False,False,False,0.9225713995513768,True
117|120,326,False,False,False,False,False,0.8818466852281951,True
40|42,203,False,False,False,False,False,0.49132030168015817,True
40|10,357,False,False,False,False,False,0.919200520422968,True
34|112,304,False,False,False,False,False,0.9193211949430179,True
11|10,232,False,False,False,False,False,0.7866924439659824,True
11|3,299,False,False,False,False,False,0.7634583902442956,True
5|41,178,False,False,False,False,True,0.8444257630128388,False
97|95,358,False,False,False,False,False,1.057849298185671,True
119|37,444,False,False,False,False,False,0.8612627553841331,True
119|103,502,False,False,False,False,False,0.947432244645293,True
22|105,507,False,False,False,False,False,0.7572332792294658,True
22|26,682,False,False,False,False,False,0.8194478088822471,True
22|76,933,False,False,False,False,False,0.5319934728940682,True
16|103,168,False,False,False,True,False,1.8603999256530046,False
16|111,436,False,False,False,False,False,1.0379637133725739,True
96|26,423,False,False,False,False,False,0.8428823436093136,True
96|76,678,False,False,False,False,False,0.5998534032112881,True
58|111,317,False,False,False,False,False,0.8402058977374522,True
31|120,444,False,False,False,False,False,1.408498644502274,True
31|112,525,False,False,False,False,False,1.469565434248628,True
117|112,409,False,False,False,False,False,1.232016516157875,True
117|41,510,False,False,False,False,False,1.66019838074022,True
34|41,404,False,False,False,False,False,1.5490919353602643,True
34|43,422,False,False,False,False,False,1.4902237571014003,True
5|43,357,False,False,False,False,False,1.6228798472080068,True
5|120,497,False,False,False,False,False,1.7976110274912942,True
73|74,135,False,False,False,False,True,0.7428812127038315,False
73|37,120,False,False,False,False,True,0.4932346750529609,False
15|94,700,False,False,False,False,False,0.963443427123054,True
15|105,754,False,False,False,False,False,0.640901934612725,True
15|26,324,False,False,False,False,True,0.6722194686982466,False
55|94,862,False,False,False,False,False,0.7325432764981055,True
55|105,466,False,False,False,False,True,0.2775740238883352,False
96|94,969,False,False,False,False,False,0.6192373158161049,True
58|74,577,False,False,False,False,False,1.0000263244537777,True
55|76,568,False,False,False,False,False,0.8267338381618917,True
31|43,206,False,False,False,False,True,0.5215125670162899,False
61|95,309,False,False,False,False,False,1.186307726329372,True
61|42,310,False,False,False,False,False,1.0405465855799279,True
117|120,330,False,False,False,False,False,0.8604476619404212,True
